DATE_TIME ,VOLT,AMPERE,POWER,IRRADIANCE
26/03/2024 08:00,12.56,3.192,40.0,212.8
26/03/2024 09:00,12.41,2.704,33.5,180.3
26/03/2024 10:00,16.41,11.746,192.7,783.1
26/03/2024 11:00,17.10,13.669,233.7,911.3
26/03/2024 12:00,12.77,3.823,48.8,254.9
26/03/2024 13:00,17.48,14.280,249.6,952.0
26/03/2024 14:00,17.66,14.580,257.4,972.0
26/03/2024 15:00,12.27,2.302,28.2,153.5
26/03/2024 16:00,11.40,0.577,6.5,038.5
26/03/2024 17:00,11.12,0.162,1.8,010.8
26/03/2024 18:00,11.06,0.060,0.6,004.0
26/03/2024 19:00,00.00,00.00,0,00.00
27/03/2024 07:00,11.47,0.678,7.7,045.2
27/03/2024 08:00,12.66,3.484,44.1,232.3
27/03/2024 09:00,14.42,8.193,118.1,546.2
27/03/2024 10:00,17.42,14.194,247.2,946.3
27/03/2024 11:00,12.50,2.895,36.1,199.0
27/03/2024 12:00,12.86,4.070,52.3,271.4
27/03/2024 13:00,11.24,0.315,3.5,022.1
27/03/2024 14:00,12.03,1.585,19.0,105.7
27/03/2024 15:00,12.47,2.902,36.1,193.5
27/03/2024 16:00,12.35,2.545,31.4,169.7
27/03/2024 17:00,12.01,1.524,18.3,101.6
27/03/2024 18:00,11.12,0.163,1.8,010.9
27/03/2024 19:00,00.00,00.00,0,00.00
28/03/2024 07:00,11.59,0.864,10.0,057.6
28/03/2024 08:00,12.66,3.489,44.1,232.6
28/03/2024 09:00,15.09,9.153,138.1,610.2
28/03/2024 10:00,13.43,5.832,78.3,388.8
28/03/2024 11:00,13.78,7.009,96.5,467.3
28/03/2024 12:00,11.24,0.329,3.6,022.0
28/03/2024 13:00,11.61,0.886,10.2,059.1
28/03/2024 14:00,11.53,0.771,8.8,051.4
28/03/2024 15:00,11.22,0.315,3.5,020.7
28/03/2024 16:00,11.36,0.522,5.9,034.8
28/03/2024 17:00,11.24,0.223,2.3,022.3
28/03/2024 18:00,11.10,0.145,1.6,009.7
28/03/2024 19:00,00.00,00.00,0,00.00
29/03/2024 07:00,11.51,0.742,8.5,049.5
29/03/2024 08:00,12.30,2.385,29.3,159.0
29/03/2024 09:00,13.79,7.036,97.0,469.1
29/03/2024 10:00,13.18,4.960,65.3,330.7
29/03/2024 11:00,17.61,1.4517,255.6,967.8
29/03/2024 12:00,13.12,4.772,62.6,318.2
29/03/2024 13:00,15.17,9.270,140.6,618.0
29/03/2024 14:00,12.12,1.840,22.3,122.7
29/03/2024 15:00,13.01,4.506,58.6,300.4
29/03/2024 16:00,12.17,2.001,24.3,133.4
29/03/2024 17:00,12.25,2.230,27.3,148.7
29/03/2024 18:00,11.32,0.445,5.3,029.7
29/03/2024 19:00,00.00,00.00,0,00.00
30/03/2024 07:00,11.35,0.498,5.6,033.2
30/03/2024 08:00,13.57,6.279,85.2,418.6
30/03/2024 09:00,13.23,5.125,67.8,341.7
30/03/2024 10:00,12.02,1.537,18.4,102.5
30/03/2024 11:00,12.05,1.641,19.7,109.4
30/03/2024 12:00,13.11,4.742,62.1,316.2
30/03/2024 13:00,16.57,12.286,203.5,819.1
30/03/2024 14:00,11.29,0.414,4.6,027.6
30/03/2024 15:00,12.24,2.211,27.0,147.4
30/03/2024 16:00,12.43,2.779,34.5,185.3
30/03/2024 17:00,12.24,2.197,26.8,146.5
30/03/2024 18:00,11.31,0.444,5.0,029.6
30/03/2024 19:00,00.00,00.00,0,00.00
31/03/2024 07:00,11.30,0.427,4.8,028.5
31/03/2024 08:00,12.99,4.447,57.7,298.6
31/03/2024 09:00,12.74,3.705,47.2,247.3
31/03/2024 10:00,15.64,10.061,157.3,670.8
31/03/2024 11:00,12.98,4.435,57.5,295.7
31/03/2024 12:00,15.53,9.870,153.2,658.0
31/03/2024 13:00,15.21,9.345,142.1,623.0
31/03/2024 14:00,14.84,8.879,131.7,592.0
31/03/2024 15:00,13.01,4.506,58.6,300.4
31/03/2024 16:00,12.51,3.024,37.8,201.6
31/03/2024 17:00,12.23,2.170,26.5,144.7
31/03/2024 18:00,11.31,0.434,4.9,0.29
31/03/2024 19:00,00.00,00.00,0,00.00
01/04/2024 07:00,11.25,0.345,3.8,023.0
01/04/2024 08:00,12.43,2.777,34.5,185.2
01/04/2024 09:00,12.19,2.061,25.1,137.4
01/04/2024 10:00,12.66,3.489,44.1,232.6
01/04/2024 11:00,12.57,3.199,40.2,213.3
01/04/2024 12:00,12.90,4.192,54.0,279.5 
01/04/2024 13:00,9.09,15.000,136.3,666.7
01/04/2024 14:00,15.37,9.600,147.5,640.0
01/04/2024 15:00,12.40,2.673,33.1,178.2
01/04/2024 16:00,12.51,3.307,41.3,202.5
01/04/2024 17:00,11.93,0.137,1.6,091.7
01/04/2024 18:00,11.16,0.220,2.4,014.7
01/04/2024 19:00,00.00,00.00,0,00.00
02/04/2024 07:00,11.45,0.655,7.4,043.7
02/04/2024 08:00,12.55,3.157,39.6,210.5
02/04/2024 09:00,12.33,2.484,30.6,165.6
02/04/2024 10:00,12.78,3.853,49.2,256.9
02/04/2024 11:00,13.12,4.775,62.6,318.4
02/04/2024 12:00,13.51,6.104,82.4,406.9
02/04/2024 13:00,14.13,7.713,108.9,514.2
02/04/2024 14:00,13.31,5.403,71.9,360.2
02/04/2024 15:00,12.45,2.847,35.4,189.8
02/04/2024 16:00,12.21,2.101,25.6,140.1
02/04/2024 17:00,12.19,2.049,24.9,136.6
02/04/2024 18:00,11.19,0.264,2.9,017.6
02/04/2024 19:00,00.00,00.00,0,00.00
03/04/2024 07:00,11.30,0.420,4.7,028.0
03/04/2024 08:00,12.36,2.574,31.8,171.6
03/04/2024 09:00,12.06,1.660,20.0,110.7
03/04/2024 10:00,12.85,4.047,52.0,269.8
03/04/2024 11:00,12.50,2.970,37.1,198.0
03/04/2024 12:00,11.88,1.302,15.4,086.8
03/04/2024 13:00,11.99,1.502,18.0,100.2
03/04/2024 14:00,12.07,1.705,20.5,113.7
03/04/2024 15:00,12.08 ,1.726,20.8,115.1
03/04/2024 16:00,11.25,0.349,3.9,023.3
03/04/2024 17:00,11.19,0.265,2.9,017.7
03/04/2024 18:00,11.15,0.202,2.2,013.5
03/04/2024 19:00,00.00,00.00,0,00.00
04/04/2024 07:00,11.74,1.086,12.7,072.4
04/04/2024 08:00,11.55,0.801,9.2,053.4
04/04/2024 09:00,12.82  ,3.967,50.8,264.5
04/04/2024 10:00,13.06 ,4.594,59.9,306.3
04/04/2024 11:00,13.12,4.768,62.5,317.9
04/04/2024 12:00,12.76 ,3.774,48.1,251.6
04/04/2024 13:00,13.73,6.825,93.7,455.0
04/04/2024 14:00,12.96,4.374,56.6,291.6
04/04/2024 15:00,15.10,9.170,138.4,611.4
04/04/2024 16:00,14.21,7.843,111.4,522.9
04/04/2024 17:00,11.81,0.119,1.4,079.5
04/04/2024 18:00,11.27,0.385,4.3,025.7
04/04/2024 19:00,00.00,00.00,0,00.00
05/04/2024 07:00,11.38,0.539,6.1,036.0
05/04/2024 08:00,12.17,1.980,24.0,132.0
05/04/2024 09:00,12.51 ,3.039,38.0,202.6
05/04/2024 10:00,12.98,4.446,57.7,297.9
05/04/2024 11:00,12.86 ,4.092,52.6,272.8
05/04/2024 12:00,16.38 ,11.775,192.8,775.1
05/04/2024 13:00,17.32,14.031,243.0,935.4
05/04/2024 14:00,12.17,1.996,24.2,133.1
05/04/2024 15:00,12.29,2.367,29.0,157.8
05/04/2024 16:00,12.88,4.150,53.4,276.7
05/04/2024 17:00,11.51,0.748,8.6,049.9
05/04/2024 18:00,11.14,0.183,2.0,012.2
05/04/2024 19:00,00.00,00.00,0,00.00
06/04/2024 07:00,11.74,1.090,12.7,072.7
06/04/2024 08:00,12.43,2.788,34.6,185.9
06/04/2024 09:00,12.33,2.476,30.5,165.1
06/04/2024 10:00,13.50,6.056,81.7,403.8
06/04/2024 11:00, 15.09 ,9.139,137.9,609.3
06/04/2024 12:00,16.53,12.135,200.5,809.0
06/04/2024 13:00,14.33 ,8.047,115.3,536.5
06/04/2024 14:00,16.25 ,11.206,182.0,747.1
06/04/2024 15:00,13.14,4.824,63.3,321.6
06/04/2024 16:00,12.62,3.373,42.5,224.9
06/04/2024 17:00,12.09,1.764,21.3,117.6
06/04/2024 18:00,11.19,0.265,2.9,017.7
06/04/2024 19:00,00.00,00.00,0,00.00
07/04/2024 07:00,11.40,0.574,6.5,038.3
07/04/2024 08:00,12.51  ,3.005,37.5,200.4
07/04/2024 09:00,12.53 ,3.087,38.6,205.8
07/04/2024 10:00,14.64,8.553,125.2,570.2
07/04/2024 11:00,12.71,3.640,46.2,242.7
07/04/2024 12:00,14.24  ,7.875,112.1,525.0
07/04/2024 13:00,14.44   ,8.223,118.7,548.2
07/04/2024 14:00,13.19 ,4.999,65.9,333.3
07/04/2024 15:00,15.34 ,9.556,146.5,637.1
07/04/2024 16:00,13.25,5.216,69.1,347.8
07/04/2024 17:00,11.82,1.207,14.2,080.5
07/04/2024 18:00,11011,0.013,0.1,009.1
07/04/2024 19:00,00.00,00.00,0,00.00
08/04/2024 07:00,11.73,1.071,12.5,071.4
08/04/2024 08:00,12.71   ,3.625,46.0,241.7
08/04/2024 09:00,12.57,3.198,40.1,213.2
08/04/2024 10:00,13.10,4.722,61.8,314.8
08/04/2024 11:00,8.43,15.000,126.4,618.5
08/04/2024 12:00,12.89,4.167,53.7,277.8
